date,time|cst,stage|meters,discharge|cms,preciptation|amm
08/15/2022,21:30,0.425,1.40,62.74
08/15/2022,21:15,0.425,1.40,62.74
08/15/2022,21:00,0.424,1.38,62.74
08/15/2022,20:45,0.424,1.38,62.74
08/15/2022,20:30,0.424,1.38,62.74
08/15/2022,20:15,0.425,1.40,62.74
08/15/2022,20:00,0.425,1.40,62.74
08/15/2022,19:45,0.422,1.33,62.74
08/15/2022,19:30,0.422,1.33,62.74
08/15/2022,19:15,0.422,1.33,62.74
08/15/2022,19:00,0.420,1.28,62.74
08/15/2022,18:45,0.421,1.31,62.74
08/15/2022,18:30,0.419,1.26,62.74
08/15/2022,18:15,0.416,1.20,62.74
08/15/2022,18:00,0.413,1.13,62.74
08/15/2022,17:45,0.412,1.11,62.74
08/15/2022,17:30,0.411,1.09,62.74
08/15/2022,17:15,0.410,1.07,62.74
08/15/2022,17:00,0.408,1.03,62.74
08/15/2022,16:45,0.409,1.05,62.74
08/15/2022,16:30,0.408,1.03,62.74
08/15/2022,16:15,0.408,1.03,62.74
08/15/2022,16:00,0.408,1.03,62.74
08/15/2022,15:45,0.410,1.07,62.74
08/15/2022,15:30,0.410,1.07,62.74
08/15/2022,15:15,0.409,1.05,62.74
08/15/2022,15:00,0.409,1.05,62.74
08/15/2022,14:45,0.410,1.07,62.74
08/15/2022,14:30,0.409,1.05,62.74
08/15/2022,14:15,0.410,1.07,62.74
08/15/2022,14:00,0.408,1.03,62.74
08/15/2022,13:45,0.408,1.03,62.74
08/15/2022,13:30,0.408,1.03,62.74
08/15/2022,13:15,0.407,1.01,62.74
08/15/2022,13:00,0.410,1.08,62.74
08/15/2022,12:45,0.410,1.07,62.74
08/15/2022,12:30,0.410,1.07,62.74
08/15/2022,12:15,0.411,1.09,62.74
08/15/2022,12:00,0.411,1.09,62.74
08/15/2022,11:45,0.411,1.09,62.74
08/15/2022,11:30,0.411,1.08,62.74
08/15/2022,11:15,0.410,1.08,62.74
08/15/2022,11:00,0.410,1.07,62.74
08/15/2022,10:45,0.410,1.07,62.74
08/15/2022,10:30,0.410,1.06,62.74
08/15/2022,10:15,0.410,1.06,62.74
08/15/2022,10:00,0.409,1.06,62.74
08/15/2022,09:45,0.409,1.06,62.74
08/15/2022,09:30,0.409,1.05,62.74
08/15/2022,09:15,0.409,1.05,62.74
08/15/2022,09:00,0.409,1.05,62.74
08/15/2022,08:45,0.409,1.04,62.74
08/15/2022,08:30,0.409,1.04,62.74
08/15/2022,08:15,0.408,1.04,62.74
08/15/2022,08:00,0.408,1.04,62.74
08/15/2022,07:45,0.408,1.03,62.74
08/15/2022,07:30,0.408,1.03,62.74
08/15/2022,07:15,0.408,1.03,62.74
08/15/2022,07:00,0.408,1.02,62.74
08/15/2022,06:45,0.407,1.02,62.74
08/15/2022,06:30,0.407,1.02,62.74
08/15/2022,06:15,0.407,1.02,62.74
08/15/2022,06:00,0.407,1.01,62.74
08/15/2022,05:45,0.407,1.01,62.74
08/15/2022,05:30,0.407,1.01,62.74
08/15/2022,05:15,0.407,1.01,62.74
08/15/2022,05:00,0.407,1.01,62.74
08/15/2022,04:45,0.407,1.01,62.74
08/15/2022,04:30,0.407,1.02,62.74
08/15/2022,04:15,0.407,1.02,62.74
08/15/2022,04:00,0.407,1.02,62.74
08/15/2022,03:45,0.407,1.02,62.74
08/15/2022,03:30,0.407,1.02,62.74
08/15/2022,03:15,0.407,1.02,62.74
08/15/2022,03:00,0.408,1.02,62.74
08/15/2022,02:45,0.408,1.02,62.74
08/15/2022,02:30,0.408,1.03,62.74
08/15/2022,02:15,0.408,1.03,62.74
08/15/2022,02:00,0.408,1.03,62.74
08/15/2022,01:45,0.408,1.03,62.74
08/15/2022,01:30,0.408,1.03,62.74
08/15/2022,01:15,0.408,1.03,62.74
08/15/2022,01:00,0.408,1.04,62.74
08/15/2022,00:45,0.408,1.04,62.74
08/15/2022,00:30,0.408,1.04,62.74
08/15/2022,00:15,0.408,1.04,62.74
08/15/2022,00:00,0.408,1.04,62.74
08/14/2022,23:45,0.409,1.04,62.74
08/14/2022,23:30,0.409,1.05,62.74
08/14/2022,23:15,0.409,1.05,62.74
08/14/2022,23:00,0.409,1.05,62.74
08/14/2022,22:45,0.409,1.06,62.74
08/14/2022,22:30,0.409,1.06,62.74
08/14/2022,22:15,0.409,1.06,62.74
08/14/2022,22:00,0.409,1.06,62.74
08/14/2022,21:45,0.410,1.06,62.74
08/14/2022,21:30,0.410,1.07,62.74
08/14/2022,21:15,0.410,1.07,62.74
08/14/2022,21:00,0.410,1.07,62.74
08/14/2022,20:45,0.410,1.07,62.74
08/14/2022,20:30,0.410,1.07,62.74
08/14/2022,20:15,0.410,1.08,62.74
08/14/2022,20:00,0.410,1.08,62.74
08/14/2022,19:45,0.410,1.08,62.74
08/14/2022,19:30,0.411,1.08,62.74
08/14/2022,19:15,0.411,1.09,62.74
08/14/2022,19:00,0.411,1.09,62.74
08/14/2022,18:45,0.411,1.09,62.74
08/14/2022,18:30,0.411,1.09,62.74
08/14/2022,18:15,0.411,1.09,62.74
08/14/2022,18:00,0.411,1.10,62.74
08/14/2022,17:45,0.411,1.10,62.74
08/14/2022,17:30,0.411,1.10,62.74
08/14/2022,17:15,0.411,1.10,62.74
08/14/2022,17:00,0.412,1.10,62.74
08/14/2022,16:45,0.412,1.11,62.74
08/14/2022,16:30,0.412,1.11,62.74
08/14/2022,16:15,0.412,1.11,62.74
08/14/2022,16:00,0.412,1.12,62.74
08/14/2022,15:45,0.412,1.11,62.74
08/14/2022,15:30,0.412,1.11,62.74
08/14/2022,15:15,0.412,1.11,62.74
08/14/2022,15:00,0.412,1.11,62.74
08/14/2022,14:45,0.412,1.11,62.74
08/14/2022,14:30,0.412,1.11,62.74
08/14/2022,14:15,0.412,1.11,62.74
08/14/2022,14:00,0.412,1.11,62.74
08/14/2022,13:45,0.412,1.11,62.74
08/14/2022,13:30,0.412,1.11,62.74
08/14/2022,13:15,0.411,1.10,62.74
08/14/2022,13:00,0.411,1.10,62.74
08/14/2022,12:45,0.411,1.10,62.74
08/14/2022,12:30,0.411,1.10,62.74
08/14/2022,12:15,0.411,1.10,62.74
08/14/2022,12:00,0.411,1.10,62.74
08/14/2022,11:45,0.411,1.09,62.74
08/14/2022,11:30,0.411,1.09,62.74
08/14/2022,11:15,0.411,1.09,62.74
08/14/2022,11:00,0.410,1.08,62.74
08/14/2022,10:45,0.410,1.08,62.74
08/14/2022,10:30,0.410,1.08,62.74
08/14/2022,10:15,0.410,1.07,62.74
08/14/2022,10:00,0.410,1.07,62.74
08/14/2022,09:45,0.410,1.07,62.74
08/14/2022,09:30,0.410,1.07,62.74
08/14/2022,09:15,0.410,1.07,62.74
08/14/2022,09:00,0.410,1.07,62.74
08/14/2022,08:45,0.410,1.07,62.74
08/14/2022,08:30,0.409,1.06,62.74
08/14/2022,08:15,0.409,1.06,62.74
08/14/2022,08:00,0.409,1.06,62.74
08/14/2022,07:45,0.409,1.06,62.74
08/14/2022,07:30,0.409,1.05,62.74
08/14/2022,07:15,0.409,1.05,62.74
08/14/2022,07:00,0.408,1.04,62.74
08/14/2022,06:45,0.408,1.04,62.74
08/14/2022,06:30,0.408,1.04,62.74
08/14/2022,06:15,0.408,1.04,62.74
08/14/2022,06:00,0.408,1.04,62.74
08/14/2022,05:45,0.408,1.03,62.74
08/14/2022,05:30,0.408,1.03,62.74
08/14/2022,05:15,0.408,1.03,62.74
08/14/2022,05:00,0.408,1.03,62.74
08/14/2022,04:45,0.408,1.03,62.74
08/14/2022,04:30,0.408,1.03,62.74
08/14/2022,04:15,0.408,1.03,62.74
08/14/2022,04:00,0.408,1.03,62.74
08/14/2022,03:45,0.408,1.03,62.74
08/14/2022,03:30,0.408,1.03,62.74
08/14/2022,03:15,0.407,1.03,62.74
08/14/2022,03:00,0.407,1.02,62.74
08/14/2022,02:45,0.407,1.02,62.74
08/14/2022,02:30,0.407,1.02,62.74
08/14/2022,02:15,0.407,1.02,62.74
08/14/2022,02:00,0.407,1.01,62.74
08/14/2022,01:45,0.407,1.01,62.74
08/14/2022,01:30,0.407,1.01,62.74
08/14/2022,01:15,0.407,1.01,62.74
08/14/2022,01:00,0.407,1.02,62.74
08/14/2022,00:45,0.407,1.02,62.74
08/14/2022,00:30,0.407,1.02,62.74
08/14/2022,00:15,0.407,1.01,62.74
08/14/2022,00:00,0.407,1.01,62.74
08/13/2022,23:45,0.407,1.01,62.74
08/13/2022,23:30,0.407,1.01,62.74
08/13/2022,23:15,0.407,1.01,62.74
08/13/2022,23:00,0.407,1.01,62.74
08/13/2022,22:45,0.407,1.02,62.74
08/13/2022,22:30,0.407,1.02,62.74
08/13/2022,22:15,0.407,1.02,62.74
08/13/2022,22:00,0.407,1.02,62.74
08/13/2022,21:45,0.407,1.02,62.74
08/13/2022,21:30,0.407,1.03,62.74
08/13/2022,21:15,0.407,1.03,62.74
08/13/2022,21:00,0.407,1.03,62.74
08/13/2022,20:45,0.407,1.03,62.74
08/13/2022,20:30,0.407,1.03,62.74
08/13/2022,20:15,0.408,1.03,62.74
08/13/2022,20:00,0.408,1.03,62.74
08/13/2022,19:45,0.408,1.03,62.74
08/13/2022,19:30,0.408,1.03,62.74
08/13/2022,19:15,0.408,1.04,62.74
08/13/2022,19:00,0.408,1.04,62.74
08/13/2022,18:45,0.409,1.05,62.74
08/13/2022,18:30,0.409,1.05,62.74
08/13/2022,18:15,0.409,1.06,62.74
08/13/2022,18:00,0.409,1.06,62.74
08/13/2022,17:45,0.409,1.06,62.74
08/13/2022,17:30,0.409,1.06,62.74
08/13/2022,17:15,0.409,1.06,62.74
08/13/2022,17:00,0.409,1.06,62.74
08/13/2022,16:45,0.409,1.06,62.74
08/13/2022,16:30,0.409,1.06,62.74
08/13/2022,16:15,0.409,1.05,62.74
08/13/2022,16:00,0.409,1.05,62.74
08/13/2022,15:45,0.409,1.06,62.74
08/13/2022,15:30,0.409,1.06,62.74
08/13/2022,15:15,0.409,1.07,62.74
08/13/2022,15:00,0.410,1.07,62.74
08/13/2022,14:45,0.410,1.07,62.74
08/13/2022,14:30,0.410,1.07,62.74
08/13/2022,14:15,0.409,1.07,62.74
08/13/2022,14:00,0.409,1.06,62.74
08/13/2022,13:45,0.409,1.06,62.74
08/13/2022,13:30,0.409,1.06,62.74
08/13/2022,13:15,0.409,1.06,62.74
08/13/2022,13:00,0.409,1.06,62.74
08/13/2022,12:45,0.409,1.06,62.74
08/13/2022,12:30,0.409,1.06,62.74
08/13/2022,12:15,0.409,1.06,62.74
08/13/2022,12:00,0.409,1.06,62.74
08/13/2022,11:45,0.409,1.05,62.74
08/13/2022,11:30,0.409,1.05,62.74
08/13/2022,11:15,0.408,1.05,62.74
08/13/2022,11:00,0.408,1.05,62.74
08/13/2022,10:45,0.408,1.05,62.74
08/13/2022,10:30,0.408,1.04,62.74
08/13/2022,10:15,0.408,1.04,62.74
08/13/2022,10:00,0.408,1.04,62.74
08/13/2022,09:45,0.408,1.04,62.74
08/13/2022,09:30,0.408,1.03,62.74
08/13/2022,09:15,0.408,1.03,62.74
08/13/2022,09:00,0.408,1.03,62.74
08/13/2022,08:45,0.407,1.03,62.74
08/13/2022,08:30,0.407,1.03,62.74
08/13/2022,08:15,0.407,1.02,62.74
08/13/2022,08:00,0.407,1.03,62.74
08/13/2022,07:45,0.407,1.03,62.74
08/13/2022,07:30,0.407,1.03,62.74
08/13/2022,07:15,0.407,1.03,62.74
08/13/2022,07:00,0.407,1.02,62.74
08/13/2022,06:45,0.407,1.02,62.74
08/13/2022,06:30,0.407,1.02,62.74
08/13/2022,06:15,0.407,1.01,62.74
08/13/2022,06:00,0.406,1.01,62.74
08/13/2022,05:45,0.406,1.01,62.74
08/13/2022,05:30,0.406,1.01,62.74
08/13/2022,05:15,0.406,1.01,62.74
08/13/2022,05:00,0.406,1.01,62.74
08/13/2022,04:45,0.406,1.01,62.74
08/13/2022,04:30,0.406,1.01,62.74
08/13/2022,04:15,0.407,1.01,62.74
08/13/2022,04:00,0.407,1.02,62.74
08/13/2022,03:45,0.407,1.02,62.74
08/13/2022,03:30,0.407,1.02,62.74
08/13/2022,03:15,0.407,1.02,62.74
08/13/2022,03:00,0.407,1.03,62.74
08/13/2022,02:45,0.407,1.03,62.74
08/13/2022,02:30,0.407,1.03,62.74
08/13/2022,02:15,0.407,1.03,62.74
08/13/2022,02:00,0.407,1.03,62.74
08/13/2022,01:45,0.407,1.03,62.74
08/13/2022,01:30,0.407,1.03,62.74
08/13/2022,01:15,0.408,1.03,62.74
08/13/2022,01:00,0.408,1.04,62.74
08/13/2022,00:45,0.408,1.04,62.74
08/13/2022,00:30,0.408,1.05,62.74
08/13/2022,00:15,0.408,1.05,62.74
08/13/2022,00:00,0.409,1.05,62.74
